measurement_time	3D_X	3D_Z	2D_Y2	2D_Y1	2D_X1	2D_X2
6929876475102694400	-0.413485	-0.0989628	-0.160006	-0.0967409	-0.212551	-0.0970753
6929876481574616064	-0.413723	-0.0983969	-0.162402	-0.0967313	-0.21202	-0.097548
6929876488037942272	-0.41508	-0.0958856	-0.164993	-0.0965673	-0.212104	-0.0970528
6929876494501266432	-0.415022	-0.0969531	-0.163781	-0.0962232	-0.213181	-0.0969917
6929876500964595712	-0.413707	-0.0976605	-0.160398	-0.0965383	-0.212014	-0.0969821
6929876507427920896	-0.412186	-0.0978985	-0.163369	-0.0964997	-0.209773	-0.0974033
6929876513891246080	-0.413636	-0.0980593	-0.156517	-0.0970142	-0.210856	-0.0958502
6929876520363167744	-0.414035	-0.0973293	-0.156421	-0.0968245	-0.211194	-0.0951396
6929876526826492928	-0.413282	-0.09722	-0.15616	-0.0973808	-0.211117	-0.0969113
6929876533298414592	-0.414118	-0.0979885	-0.155836	-0.0964965	-0.210068	-0.0969756
6929876539761739776	-0.413642	-0.0969113	-0.16544	-0.0964676	-0.209428	-0.0963808
6929876546225065984	-0.4129	-0.0979499	-0.16418	-0.0965062	-0.215599	-0.0974194
6929876552688392192	-0.412674	-0.0980368	-0.156781	-0.0950881	-0.211133	-0.096728
6929876559151719424	-0.413552	-0.0982168	-0.15535	-0.0956573	-0.209998	-0.0971075
6929876565615045632	-0.415166	-0.0968824	-0.160598	-0.0969756	-0.210438	-0.0961428
6929876572078370816	-0.413996	-0.0983712	-0.157704	-0.0967377	-0.211863	-0.0975255
6929876578550290432	-0.415932	-0.0979306	-0.163845	-0.0965255	-0.212146	-0.0974547
6929876585013617664	-0.415269	-0.0989371	-0.157723	-0.0974258	-0.21157	-0.0968534
6929876591476944896	-0.416626	-0.0958663	-0.163881	-0.0975223	-0.212203	-0.0969306
6929876597940271104	-0.411089	-0.0914707	-0.15489	-0.091371	-0.206744	-0.0917601
6929876604407892992	-0.414671	-0.0983229	-0.164916	-0.0955447	-0.213374	-0.0965415
6929876610871220224	-0.416565	-0.0978342	-0.164842	-0.0961557	-0.211576	-0.0966348
6929876617343140864	-0.409006	-0.0920463	-0.156257	-0.0894899	-0.20466	-0.0921974
6929876623806465024	-0.415858	-0.0980239	-0.164077	-0.0962489	-0.213158	-0.0966541
6929876630269791232	-0.415539	-0.0981396	-0.164167	-0.095982	-0.211265	-0.0973969
6929876636733117440	-0.410494	-0.0907986	-0.156742	-0.0911459	-0.203814	-0.0917247
6929876643196443648	-0.417189	-0.0967956	-0.16471	-0.0961782	-0.214602	-0.0974355
6929876649659771904	-0.414253	-0.0983776	-0.164469	-0.0973647	-0.210162	-0.0976348
6929876656123098112	-0.409764	-0.0938212	-0.153035	-0.0916347	-0.206901	-0.0913581
